"","country","continent","intercept","slope","res_err_var"
"76","Libya","Africa",42.1019358974359,0.625535664335664,2.37124808694639
"77","Madagascar","Africa",36.6680641025641,0.403727972027972,0.313213036946387
"78","Malawi","Africa",36.9103717948718,0.234225874125874,3.737090452331
"79","Malaysia","Asia",51.505217948718,0.464522377622377,4.35981113764565
"80","Mali","Africa",33.0512307692308,0.37680979020979,0.231941065734268
"81","Mauritania","Africa",40.0256025641026,0.446417482517482,0.166082582400936
"82","Mauritius","Africa",55.3707692307692,0.348453846153846,3.02834538846153
"83","Mexico","Americas",53.0053717948718,0.451034965034965,1.09219842960372
"84","Mongolia","Asia",43.8264102564103,0.438688111888112,0.884074191142185
"85","Montenegro","Europe",62.2416282051282,0.293001398601399,7.58358926596737
"86","Morocco","Africa",42.6908333333334,0.542472727272727,0.572980675757576
"87","Mozambique","Africa",34.2061538461539,0.224485314685315,5.25201089790209
"88","Myanmar","Asia",41.4115512820513,0.433095104895104,9.19804573310014
"89","Namibia","Africa",47.1343333333333,0.231163636363636,24.6095601939394
"90","Nepal","Asia",34.431641025641,0.529261538461538,0.854256712820521
"91","Netherlands","Europe",71.8896153846154,0.136686713286713,0.120937111888114
"92","New Zealand","Oceania",68.6869230769231,0.192820979020979,0.646974342657346
"93","Nicaragua","Americas",43.0451282051282,0.55651958041958,0.358108179603724
"94","Niger","Africa",35.1506666666667,0.34210909090909,4.76884101212124
"95","Nigeria","Africa",37.8595256410256,0.208065734265734,2.31045572191142
"96","Norway","Europe",72.2146153846154,0.131941258741258,0.239785566433567
"97","Oman","Asia",37.2077435897436,0.772179020979021,5.51178700932401
"98","Pakistan","Asia",43.7229615384616,0.405792307692307,0.162355603846152
"99","Panama","Americas",58.061,0.354209090909091,2.30138199545451
"100","Paraguay","Americas",62.4818333333334,0.157354545454545,0.153207753030305
"101","Peru","Americas",44.3476410256411,0.527697902097902,1.16080644009323
"102","Philippines","Asia",49.4043461538462,0.42046923076923,0.546816311538432
"103","Poland","Europe",64.7808974358975,0.196218881118881,2.62836636421906
"104","Portugal","Europe",61.1467948717949,0.337201398601398,1.29892836596735
"105","Puerto Rico","Americas",66.9485256410257,0.210574825174824,1.6096463400932
"106","Reunion","Africa",53.9975384615385,0.459880419580419,2.65532231293705
"107","Romania","Europe",63.9621282051282,0.157401398601399,2.13777736596735
"108","Rwanda","Africa",42.7419487179487,-0.0458314685314686,43.0108985376456
"109","Sao Tome and Principe","Africa",48.5275641025641,0.340682517482517,1.9433751324009
"110","Saudi Arabia","Asia",40.8141153846154,0.649623076923077,4.33253523461538
"111","Senegal","Africa",36.7466666666667,0.504699999999999,0.869297516666672
"112","Serbia","Europe",61.5343461538462,0.255151048951048,3.20967754335659
"113","Sierra Leone","Africa",30.8832051282051,0.214034965034965,0.679717729603724
"114","Singapore","Asia",61.8458846153846,0.340886013986014,0.506800780069926
"115","Slovak Republic","Europe",67.0098717948718,0.134044055944055,1.6895567977855
"116","Slovenia","Europe",66.0863461538462,0.200523776223776,0.505285747902099
"117","Somalia","Africa",34.6753974358974,0.229573426573426,3.4712508142191
"118","South Africa","Africa",49.3412820512821,0.16915944055944,22.5089157785548
"119","Spain","Europe",66.4778205128206,0.280930769230768,1.02652437820509
"120","Sri Lanka","Asia",59.7914871794872,0.244894405594405,1.18286670547783
"121","Sudan","Africa",37.8741923076923,0.382774825174825,0.414836673426573
"122","Swaziland","Africa",46.387858974359,0.0950748251748254,44.1439492900932
"123","Sweden","Europe",71.605,0.166254545454545,0.0448456363636416
"124","Switzerland","Europe",69.453717948718,0.222231468531468,0.0461869376456882
"125","Syria","Asia",46.1012820512821,0.55435944055944,1.76768817855478
"126","Taiwan","Asia",61.3374358974359,0.327244755244755,1.7172227505827
"127","Tanzania","Africa",43.1084102564103,0.174688111888112,3.36584639114217
"128","Thailand","Asia",52.6564230769231,0.347048251748252,1.45171739265734
"129","Togo","Africa",40.9774615384615,0.382592307692307,5.44186960384614
"130","Trinidad and Tobago","Americas",62.0523076923077,0.173661538461538,2.72905164615382
"131","Tunisia","Africa",44.5553076923077,0.587843356643356,2.43065662797203
"132","Turkey","Europe",46.0223205128205,0.49723986013986,1.31576052365966
"133","Uganda","Africa",44.275217948718,0.121586013986014,10.1612292967366
"134","United Kingdom","Europe",68.8085256410257,0.185965734265734,0.195468471911424
"135","United States","Americas",68.4138461538462,0.184169230769231,0.173167461538461
"136","Uruguay","Americas",65.7416025641026,0.183272027972027,0.284814236946392
"137","Venezuela","Americas",57.5133205128205,0.329721678321678,2.19573817365966
"138","Vietnam","Asia",39.0100769230769,0.671615384615384,1.72567401538463
"139","West Bank and Gaza","Asia",43.7983974358975,0.601100699300699,3.92904634149184
"140","Yemen, Rep.","Asia",30.1302820512821,0.60545944055944,2.5147554285548
"141","Zambia","Africa",47.6580256410256,-0.0604251748251747,20.5092394400932
"142","Zimbabwe","Africa",55.2212435897436,-0.0930209790209789,51.9182315093239
